city,street,number,postal_code,state,lon,lat
Katowice,Plac Alfreda,3,40-153,istniejacy,269489.7459,500809.1022
Katowice,Plac Alfreda,4,40-153,istniejacy,269480.262499999,500776.3395
Katowice,Plac Alfreda,8,40-153,istniejacy,269479.6676,500750.6098
Katowice,Plac Alfreda,9,40-153,istniejacy,269464.9593,500760.0304
Katowice,Plac Alfreda,11,40-153,istniejacy,269437.459100001,500779.9566
Katowice,Plac Alfreda,12,40-153,istniejacy,269421.5253,500818.3562
Katowice,Plac Alfreda,13,40-153,istniejacy,269380.3949,500812.1001
Katowice,Lwowska,28,40-389,istniejacy,265598.6658,506666.8445
Katowice,Lwowska,30a,40-389,istniejacy,265549.5403,506666.1089
Katowice,Lwowska,30b,40-389,istniejacy,265537.6658,506662.4425
Katowice,Lwowska,30,40-389,istniejacy,265559.3846,506667.0792
Katowice,Wyrobiskowa,5,40-307,istniejacy,268578.611500001,504440.017
Katowice,Wyrobiskowa,8,40-307,istniejacy,268571.991599999,504474.2494
Katowice,Wyrobiskowa,9,40-307,istniejacy,268620.906400001,504461.2038
Katowice,Wyrobiskowa,12,40-307,istniejacy,268597.9504,504482.6251
Katowice,Wyrobiskowa,13,40-307,istniejacy,268637.6479,504475.5187
Katowice,Wyrobiskowa,15,40-307,istniejacy,268646.1831,504478.6925
Katowice,Wyrobiskowa,17,40-307,istniejacy,268664.9277,504484.5118
Katowice,Wyrobiskowa,18,40-307,istniejacy,268643.621099999,504495.8527
Katowice,Wyrobiskowa,20,40-307,istniejacy,268649.5177,504497.7048
Katowice,Lwowska,38,40-389,istniejacy,265043.6808,506480.7614
Katowice,Lwowska,42,40-414,istniejacy,264681.147399999,506402.8353
Katowice,Lwowska,44,40-414,istniejacy,264665.2937,506399.7313
Katowice,Lwowska,46,40-414,istniejacy,264644.6044,506396.1417
Katowice,Lwowska,48,40-414,istniejacy,264631.4564,506393.9105
Katowice,Lwowska,50,40-414,istniejacy,264613.861400001,506390.6122
Katowice,Lwowska,60,40-414,istniejacy,264522.02,506366.1928
Katowice,Lwowska,62,40-414,istniejacy,264498.8224,506354.4804
Katowice,Pierwiosnków,32,40-750,istniejacy,257533.6598,499179.6885
Katowice,Pierwiosnków,28,40-750,istniejacy,257576.0518,499208.9628
Katowice,Pierwiosnków,35,40-750,istniejacy,257558.339299999,499148.2125
Katowice,Pierwiosnków,33,40-750,istniejacy,257559.707,499158.6846
Katowice,Opolska,22,40-084,istniejacy,266125.9255,500788.5463
Katowice,Opolska,18,40-084,istniejacy,266049.223200001,500915.2815
Katowice,Opolska,15,40-084,istniejacy,266039.3422,500968.0652
Katowice,Opolska,13,40-084,istniejacy,266028.894099999,500983.4267
Katowice,Opolska,11,40-084,istniejacy,266014.6894,501004.8861
Katowice,Opolska,7,40-084,istniejacy,265976.421800001,501060.47
Katowice,Opolska,8,40-084,istniejacy,265959.0657,501048.9637
Katowice,Wyrobiskowa,19,40-307,istniejacy,268680.679099999,504488.8328
Katowice,Pierwiosnków,30,40-750,istniejacy,257551.570499999,499186.9626
Katowice,Pierwiosnków,29,40-750,istniejacy,257607.659,499215.3692
Katowice,Pierwiosnków,23,40-750,istniejacy,257631.6677,499249.5757
Katowice,Pierwiosnków,21,40-750,istniejacy,257635.4365,499270.3811
Katowice,Pierwiosnków,24,40-750,istniejacy,257606.138800001,499255.2661
Katowice,Pierwiosnków,26,40-750,istniejacy,257591.466399999,499232.6292
Katowice,Opolska,6,40-084,istniejacy,265947.4431,501067.0229
Katowice,Opolska,5,40-084,istniejacy,265965.5044,501075.9481
Katowice,Opolska,3,40-084,istniejacy,265954.3521,501093.0691
Katowice,Opolska,1,40-084,istniejacy,265942.0273,501110.658
Katowice,Opolska,4,40-084,istniejacy,265934.7655,501086.0192
Katowice,Opolska,2,40-084,istniejacy,265923.613399999,501102.9064
Katowice,Stacyjna,2,40-310,istniejacy,267733.7097,504814.5012
Katowice,Stacyjna,4,40-310,istniejacy,267692.876499999,504801.6844
